47.64570362,-122.14073746
47.64465876,-122.14164599
47.64316917,-122.14032175
47.64400884,-122.14023575
47.64461988,-122.14036647
47.64408768,-122.14041856
47.64420863,-122.14025745
47.64444361,-122.14018328
47.64465758,-122.14018767
47.64488454,-122.14017437
47.64520477,-122.14016784
47.64547674,-122.14018439
47.64571323,-122.14022766
47.64587239,-122.14002287
47.64595766,-122.1397792
47.64599922,-122.13943789
47.64603828,-122.13900942
47.64604141,-122.13858751
47.646027,-122.13819059
47.64600358,-122.13771124
47.64598373,-122.13724606
47.64593355,-122.13677245
47.64588724,-122.13626595
47.6429362,-122.13467282
47.64243793,-122.13467092
47.64198233,-122.13468288
47.64153045,-122.13476467
47.64104408,-122.13491783
47.64058267,-122.13511139
47.64011501,-122.13536333
47.63960332,-122.13572667
47.63911414,-122.13607039
47.63861611,-122.13653331
47.63814037,-122.1370822
47.63768491,-122.13758951
47.63725632,-122.13812444
47.63685084,-122.13875491
47.63651447,-122.13942039
47.63615011,-122.14011484
47.63580224,-122.14075543
47.63541746,-122.14138799
47.63507052,-122.14200602
47.63473228,-122.1426724
47.63441075,-122.14329013
47.63410235,-122.14394645
47.63376621,-122.14459159
47.6334202,-122.14521279
47.63305178,-122.14583486
47.63270445,-122.14647547
47.63232408,-122.14711158
47.63196519,-122.1477388
47.63162584,-122.14835526
47.6312515,-122.14899425
47.63089755,-122.14973043
47.63201135,-122.17986298
47.63208268,-122.18060479
47.63214152,-122.18135859
47.63215467,-122.18210143
47.63211356,-122.18285325
47.63209556,-122.18356543
47.6320449,-122.18425436
47.63199828,-122.18491461
47.63199913,-122.18559604
47.63201972,-122.18626038
47.63207653,-122.18693261
47.63218839,-122.18758511
47.63232882,-122.18822966
47.63257283,-122.18886573
47.63287737,-122.18945135
47.63322927,-122.18996166
47.63367887,-122.19043466
47.634132,-122.19076635
47.63461255,-122.19107122
47.63504998,-122.19135558
47.63553452,-122.19168733
47.63599614,-122.19201589
47.63646174,-122.19235786
47.63692352,-122.19276196
47.63736625,-122.19318684
47.63777944,-122.19372926
47.6382038,-122.19423848
47.63859022,-122.1947819
47.63899604,-122.19532488
47.63936364,-122.1958044
47.63996172,-122.19658762
47.64033791,-122.19708576
47.64072958,-122.19763817
47.6410922,-122.19819132
47.64143997,-122.19879572
47.64175567,-122.19944091
47.64211672,-122.20019294
47.64245387,-122.20094038
47.64266078,-122.20174271
47.64284559,-122.20246246
47.64283835,-122.20328823
47.64288764,-122.20411885
47.64294009,-122.20491996
47.64302134,-122.20573633
47.64311167,-122.2065553
47.64318879,-122.20735176
47.64323331,-122.20814994
47.64314663,-122.20890738
47.64306518,-122.20967456
47.64294208,-122.21040413
47.64273822,-122.21110748
47.64251487,-122.21179233
47.64229401,-122.21250729
47.64203371,-122.21318039
47.64178175,-122.21387401
47.64153522,-122.2145543
47.64128756,-122.21521327
47.64106505,-122.21590413
47.64087001,-122.21659499
47.64066575,-122.21728132
47.640455,-122.21797972
47.64018559,-122.21864377
47.63995811,-122.2193461
47.63972099,-122.22003135
47.6393758,-122.22065471
47.63896425,-122.22130348
47.63853414,-122.22184619
47.6381203,-122.22239975
47.63771144,-122.2229896
47.63729561,-122.223602
47.63692551,-122.22421384
47.63660583,-122.22483677
47.63631555,-122.22551321
47.63607985,-122.22625582
47.63597157,-122.22705364
47.63589128,-122.2278699
47.63578627,-122.22870427
47.63599506,-122.23085222
47.6361301,-122.23169866
47.63627859,-122.2324797
47.63643194,-122.23325567
47.63653376,-122.23397771
47.6366206,-122.2346326
47.63670978,-122.23525619
47.63682041,-122.23590502
47.63691469,-122.23650263
47.63700638,-122.23708237
47.63710406,-122.23766097
47.63718752,-122.23827617
47.63726882,-122.23884629
47.63735532,-122.23937071
47.63743263,-122.2398745
47.63751203,-122.24040066
47.63757214,-122.24086357
47.63765513,-122.24137609
47.63772916,-122.24190982
47.63781607,-122.24247003
47.63792173,-122.24300767
47.63802063,-122.24354318
47.63810283,-122.24412395
47.63821357,-122.24472981
47.63829059,-122.24530316
47.63839468,-122.24594518
47.63848526,-122.24657627
47.63858536,-122.2472394
47.6386858,-122.24789419
47.63876377,-122.24856723
47.63885518,-122.2492397
47.63895781,-122.24988995
47.63904768,-122.25051846
47.63913599,-122.25113795
47.63922794,-122.25174188
47.63931907,-122.25231988
47.63940219,-122.25289919
47.63949323,-122.25350407
47.63958462,-122.25407566
47.63967767,-122.25467753
47.63976976,-122.25527388
47.63986875,-122.25589948
47.63995887,-122.25648791
47.64004748,-122.2570955
47.64014076,-122.25769575
47.64023014,-122.25828736
47.64031487,-122.25888901
47.64040891,-122.25950836
47.64050642,-122.26011945
47.64060166,-122.26075396
47.64069714,-122.26136087
47.64078919,-122.26196596
47.64087888,-122.26258127
47.64097271,-122.26321481
47.641064,-122.26383161
47.64115942,-122.26448554
47.6412493,-122.26510303
47.64135102,-122.26575541
47.64145191,-122.26638606
47.64154745,-122.26705416
47.64164877,-122.26770318
47.64175016,-122.26837317
47.64184505,-122.26901952
47.64194727,-122.26968575
47.64205022,-122.27032612
47.64214714,-122.27097706
47.64224504,-122.27161196
47.64234553,-122.2722625
47.64245218,-122.27288516
47.64253276,-122.27350544
47.64262682,-122.2741029
47.64271234,-122.27473385
47.64280625,-122.27532821
47.64291927,-122.27594654
47.64307318,-122.2765463
47.64329663,-122.27718099
47.64350791,-122.27779001
47.64373117,-122.27842447
47.64394613,-122.27904263
47.64410615,-122.27970994
47.64425279,-122.28033532
47.64436514,-122.28097995
47.64436096,-122.28152937
47.64440711,-122.28216232
